2016-09-10 13:12:41,546 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@724af044: startup date [Sat Sep 10 13:12:41 UYT 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-09-10 13:12:42,776 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/alejandrobarreiro/Documents/Proyectos/spring/apache-activemq-5.14.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2016-09-10 13:12:43,021 | INFO  | PListStore:[/Users/alejandrobarreiro/Documents/Proyectos/spring/apache-activemq-5.14.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2016-09-10 13:12:43,177 | INFO  | Apache ActiveMQ 5.14.0 (localhost, ID:MacBook-Pro-de-Alejandro.local-49291-1473523963037-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2016-09-10 13:12:43,203 | INFO  | Listening for connections at: tcp://MacBook-Pro-de-Alejandro.local:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-10 13:12:43,204 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2016-09-10 13:12:43,209 | INFO  | Listening for connections at: amqp://MacBook-Pro-de-Alejandro.local:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-10 13:12:43,212 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2016-09-10 13:12:43,226 | INFO  | Listening for connections at: stomp://MacBook-Pro-de-Alejandro.local:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-10 13:12:43,228 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2016-09-10 13:12:43,232 | INFO  | Listening for connections at: mqtt://MacBook-Pro-de-Alejandro.local:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
